😀 grinning face	happy smile cheerful
😶‍🌫️ face in clouds	confused foggy daydream haze spacey
😏 smirking face	smug flirt suggestive sly smirk
😒 unamused face	annoyed meh bored unimpressed side-eye
🙄 face with rolling eyes	eyeroll whatever annoyed ugh please
😬 grimacing face	awkward cringe yikes oops teeth
😮‍💨 face exhaling	sigh relief tired phew breathe
🤥 lying face	pinocchio liar cap lying
😌 relieved face	calm peaceful serene content phew
😔 pensive face	sad thoughtful reflective somber
😪 sleepy face	tired drowsy zzz snooze
🤤 drooling face	hungry want desire yum drool
😴 sleeping face	zzz asleep snore tired nap sleep
😷 face with medical mask	sick covid mask ill virus
🤒 face with thermometer	sick fever ill temperature flu
🤕 face with head-bandage	hurt injured ouch wound pain
🤢 nauseated face	sick gross puke disgusted nauseous barf
🤮 face vomiting	puke barf sick gross vomit throw-up
🤧 sneezing face	achoo sick allergy cold flu
🥵 hot face	hot heat sweating overheated warm
🥶 cold face	freezing frozen cold brr ice
🥴 woozy face	drunk tipsy dizzy high intoxicated
😵 face with crossed-out eyes	dead knocked-out dizzy ko stunned
😵‍💫 face with spiral eyes	hypnotized dizzy confused dazed trippy
🤯 exploding head	mind-blown shocked amazed omg wtf wow
🤠 cowboy hat face	yeehaw country western howdy cowboy
🥳 partying face	party celebrate birthday woohoo confetti
🥸 disguised face	incognito spy detective undercover mask
😎 smiling face with sunglasses	cool sunglasses deal-with-it boss
🤓 nerd face	geek glasses smart nerd studious
🧐 face with monocle	fancy inspect curious hmm classy
😕 confused face	huh what confused puzzled lost
🫤 face with diagonal mouth	meh unsure skeptical eh
😟 worried face	anxious nervous concerned worried scared
🙁 slightly frowning face	sad unhappy disappointed bummed
☹️ frowning face	sad upset unhappy
😮 face with open mouth	surprised shocked wow gasp omg
😯 hushed face	surprised wow quiet stunned
😲 astonished face	shocked surprised wow omg amazed
😳 flushed face	embarrassed shy blush red oops
🥺 pleading face	puppy-eyes please beg uwu adorable cute
🥹 face holding back tears	emotional about-to-cry strong brave watery
😦 frowning face with open mouth	shocked surprised upset oh-no
😧 anguished face	distressed upset shocked oh-no pain
😨 fearful face	scared afraid terrified fear shock
😰 anxious face with sweat	nervous worried stressed anxious panic
😥 sad but relieved face	phew worried relief sweat nervous
😢 crying face	sad tear cry upset
😭 loudly crying face	sobbing bawling wailing crying sad devastated
😱 face screaming in fear	scream horror scared omg shocked munch
😖 confounded face	frustrated confused upset argh
😣 persevering face	struggling frustrated trying endure
😞 disappointed face	sad let-down bummed
😓 downcast face with sweat	hard-work struggling tough effort
😩 weary face	tired exhausted done over-it ugh
😫 tired face	exhausted done frustrated fed-up
🥱 yawning face	bored tired sleepy boring yawn
😤 face with steam from nose	smoke triumph badass huff snort angry frustrated mad huffing
😡 pouting face
😠 angry face	mad pissed annoyed grr angry
🤬 face with symbols on mouth	swearing cursing cussing expletive f-word angry
😈 smiling face with horns	devil mischievous naughty evil imp
👿 angry face with horns	devil evil demon angry imp
💀 skull	dead death rip oof skeleton deadass im-dead
☠️ skull and crossbones	death poison danger toxic pirate
💩 pile of poo	poop shit crap turd poo
🤡 clown face	clown joker silly fool circus
👹 ogre	monster oni japanese demon red
👺 goblin	monster tengu japanese demon
👻 ghost	spooky halloween boo spirit phantom
👽 alien	ufo space extraterrestrial et
👾 alien monster	space-invader arcade game pixel alien
🤖 robot	bot machine android ai
😺 grinning cat	cat happy smile meow
😸 grinning cat with smiling eyes
😹 cat with tears of joy	cat lol laughing haha
😻 smiling cat with heart-eyes	cat love crush adore
😼 cat with wry smile	cat ironic smirk
😽 kissing cat	cat kiss love smooch
🙀 weary cat	cat tired shocked omg
😿 crying cat	cat sad tear upset
😾 pouting cat	cat angry mad grumpy
🙈 see-no-evil monkey	hide peek shy oops cant-look monkey
🙉 hear-no-evil monkey	ignore deaf la-la-la monkey
🙊 speak-no-evil monkey	quiet shh secret oops monkey
💋 kiss mark	kiss lipstick smooch muah
💌 love letter
💘 heart with arrow	love cupid valentine crush
💝 heart with ribbon	gift love present valentine
💖 sparkling heart	love sparkle shiny pretty
💗 growing heart	love growing bigger affection
💓 beating heart	love pulse alive heartbeat
💞 revolving hearts	love sweet cute romance
💕 two hearts	love couple sweet romance
💟 heart decoration	love decoration box
❣️ heart exclamation	love wow emphasis agree
💔 broken heart	heartbreak sad breakup pain
❤️‍🔥 heart on fire	passion desire burning love lust
❤️‍🩹 mending heart	healing recovery better fix
❤️ red heart	love heart red classic
🧡 orange heart	love friendship warm
💛 yellow heart	love friendship happy bestie
💚 green heart	love nature healthy eco
💙 blue heart	love trust loyalty sad
💜 purple heart	love purple military honor
🤎 brown heart	love earth warm cozy
🖤 black heart	dark emo goth edgy love
🤍 white heart	love pure clean innocent
💯 hundred points	100 perfect score hundo full-marks
💢 anger symbol	angry rage pow fury
💥 collision	boom bang crash pow explosion
💫 dizzy	star sparkle whoa dazed
💦 sweat droplets	water splash wet drip
💨 dashing away	fast run speed dash poof smoke wind
🕳️ hole	pit void empty dark
💣 bomb
💬 speech balloon	talk chat message say
👁️‍🗨️ eye in speech bubble
🗨️ left speech bubble
🗯️ right anger bubble
💭 thought balloon	think idea wonder dream
💤 zzz	sleep tired snore nap rest
👋 waving hand	hi hello bye wave greet
👋🏻 waving hand: light skin tone	hi hello bye wave greet
👋🏼 waving hand: medium-light skin tone	hi hello bye wave greet
👋🏽 waving hand: medium skin tone	hi hello bye wave greet
👋🏾 waving hand: medium-dark skin tone	hi hello bye wave greet
👋🏿 waving hand: dark skin tone	hi hello bye wave greet
🤚 raised back of hand	backhand slap smack
🤚🏻 raised back of hand: light skin tone	backhand slap smack
🤚🏼 raised back of hand: medium-light skin tone	backhand slap smack
🤚🏽 raised back of hand: medium skin tone	backhand slap smack
🤚🏾 raised back of hand: medium-dark skin tone	backhand slap smack
🤚🏿 raised back of hand: dark skin tone	backhand slap smack
🖐️ hand with fingers splayed	stop halt high-five spread jazz-hands
🖐🏻 hand with fingers splayed: light skin tone	stop halt high-five spread jazz-hands
🖐🏼 hand with fingers splayed: medium-light skin tone	stop halt high-five spread jazz-hands
🖐🏽 hand with fingers splayed: medium skin tone	stop halt high-five spread jazz-hands
🖐🏾 hand with fingers splayed: medium-dark skin tone	stop halt high-five spread jazz-hands
🖐🏿 hand with fingers splayed: dark skin tone	stop halt high-five spread jazz-hands
✋ raised hand	stop high-five halt yo
✋🏻 raised hand: light skin tone	stop high-five halt yo
✋🏼 raised hand: medium-light skin tone	stop high-five halt yo
✋🏽 raised hand: medium skin tone	stop high-five halt yo
✋🏾 raised hand: medium-dark skin tone	stop high-five halt yo
✋🏿 raised hand: dark skin tone	stop high-five halt yo
🖖 vulcan salute	spock star-trek live-long-and-prosper
🖖🏻 vulcan salute: light skin tone	spock star-trek live-long-and-prosper
🖖🏼 vulcan salute: medium-light skin tone	spock star-trek live-long-and-prosper
🖖🏽 vulcan salute: medium skin tone	spock star-trek live-long-and-prosper
🖖🏾 vulcan salute: medium-dark skin tone	spock star-trek live-long-and-prosper
🖖🏿 vulcan salute: dark skin tone	spock star-trek live-long-and-prosper
🫱 rightwards hand	right push point direct
🫱🏻 rightwards hand: light skin tone	right push point direct
🫱🏼 rightwards hand: medium-light skin tone	right push point direct
🫱🏽 rightwards hand: medium skin tone	right push point direct
🫱🏾 rightwards hand: medium-dark skin tone	right push point direct
🫱🏿 rightwards hand: dark skin tone	right push point direct
🫲 leftwards hand	left push point direct
🫲🏻 leftwards hand: light skin tone	left push point direct
🫲🏼 leftwards hand: medium-light skin tone	left push point direct
🫲🏽 leftwards hand: medium skin tone	left push point direct
🫲🏾 leftwards hand: medium-dark skin tone	left push point direct
🫲🏿 leftwards hand: dark skin tone	left push point direct
🫳 palm down hand	lower calm drop push-down
🫳🏻 palm down hand: light skin tone	lower calm drop push-down
🫳🏼 palm down hand: medium-light skin tone	lower calm drop push-down
🫳🏽 palm down hand: medium skin tone	lower calm drop push-down
🫳🏾 palm down hand: medium-dark skin tone	lower calm drop push-down
🫳🏿 palm down hand: dark skin tone	lower calm drop push-down
🫴 palm up hand	offer give here take serve
🫴🏻 palm up hand: light skin tone	offer give here take serve
🫴🏼 palm up hand: medium-light skin tone	offer give here take serve
🫴🏽 palm up hand: medium skin tone	offer give here take serve
🫴🏾 palm up hand: medium-dark skin tone	offer give here take serve
🫴🏿 palm up hand: dark skin tone	offer give here take serve
👌 OK hand	okay perfect fine pinch chef-kiss gotcha
👌🏻 OK hand: light skin tone	okay perfect fine pinch chef-kiss gotcha
👌🏼 OK hand: medium-light skin tone	okay perfect fine pinch chef-kiss gotcha
👌🏽 OK hand: medium skin tone	okay perfect fine pinch chef-kiss gotcha
👌🏾 OK hand: medium-dark skin tone	okay perfect fine pinch chef-kiss gotcha
👌🏿 OK hand: dark skin tone	okay perfect fine pinch chef-kiss gotcha
🤌 pinched fingers	italian what chef perfection
🤌🏻 pinched fingers: light skin tone	italian what chef perfection
🤌🏼 pinched fingers: medium-light skin tone	italian what chef perfection
🤌🏽 pinched fingers: medium skin tone	italian what chef perfection
🤌🏾 pinched fingers: medium-dark skin tone	italian what chef perfection
🤌🏿 pinched fingers: dark skin tone	italian what chef perfection
🤏 pinching hand	small tiny little bit smol
🤏🏻 pinching hand: light skin tone	small tiny little bit smol
🤏🏼 pinching hand: medium-light skin tone	small tiny little bit smol
🤏🏽 pinching hand: medium skin tone	small tiny little bit smol
🤏🏾 pinching hand: medium-dark skin tone	small tiny little bit smol
🤏🏿 pinching hand: dark skin tone	small tiny little bit smol
✌️ victory hand	peace v-sign two deuces
✌🏻 victory hand: light skin tone	peace v-sign two deuces
✌🏼 victory hand: medium-light skin tone	peace v-sign two deuces
✌🏽 victory hand: medium skin tone	peace v-sign two deuces
✌🏾 victory hand: medium-dark skin tone	peace v-sign two deuces
✌🏿 victory hand: dark skin tone	peace v-sign two deuces
🤞 crossed fingers	luck hope wish please pray
🤞🏻 crossed fingers: light skin tone	luck hope wish please pray
🤞🏼 crossed fingers: medium-light skin tone	luck hope wish please pray
🤞🏽 crossed fingers: medium skin tone	luck hope wish please pray
🤞🏾 crossed fingers: medium-dark skin tone	luck hope wish please pray
🤞🏿 crossed fingers: dark skin tone	luck hope wish please pray
🫰 hand with index finger and thumb crossed	money snap cash tip expensive
🫰🏻 hand with index finger and thumb crossed: light skin tone	money snap cash tip expensive
🫰🏼 hand with index finger and thumb crossed: medium-light skin tone	money snap cash tip expensive
🫰🏽 hand with index finger and thumb crossed: medium skin tone	money snap cash tip expensive
🫰🏾 hand with index finger and thumb crossed: medium-dark skin tone	money snap cash tip expensive
🫰🏿 hand with index finger and thumb crossed: dark skin tone	money snap cash tip expensive
🤟 love-you gesture	ily love rock sign-language
🤟🏻 love-you gesture: light skin tone	ily love rock sign-language
🤟🏼 love-you gesture: medium-light skin tone	ily love rock sign-language
🤟🏽 love-you gesture: medium skin tone	ily love rock sign-language
🤟🏾 love-you gesture: medium-dark skin tone	ily love rock sign-language
🤟🏿 love-you gesture: dark skin tone	ily love rock sign-language
🤘 sign of the horns	rock metal devil horns
🤘🏻 sign of the horns: light skin tone	rock metal devil horns
🤘🏼 sign of the horns: medium-light skin tone	rock metal devil horns
🤘🏽 sign of the horns: medium skin tone	rock metal devil horns
🤘🏾 sign of the horns: medium-dark skin tone	rock metal devil horns
🤘🏿 sign of the horns: dark skin tone	rock metal devil horns
🤙 call me hand	call phone shaka hang-loose surf
🤙🏻 call me hand: light skin tone	call phone shaka hang-loose surf
🤙🏼 call me hand: medium-light skin tone	call phone shaka hang-loose surf
🤙🏽 call me hand: medium skin tone	call phone shaka hang-loose surf
🤙🏾 call me hand: medium-dark skin tone	call phone shaka hang-loose surf
🤙🏿 call me hand: dark skin tone	call phone shaka hang-loose surf
👈 backhand index pointing left	left point that-way this
👈🏻 backhand index pointing left: light skin tone	left point that-way this
👈🏼 backhand index pointing left: medium-light skin tone	left point that-way this
👈🏽 backhand index pointing left: medium skin tone	left point that-way this
👈🏾 backhand index pointing left: medium-dark skin tone	left point that-way this
👈🏿 backhand index pointing left: dark skin tone	left point that-way this
👉 backhand index pointing right	right point that-way this
👉🏻 backhand index pointing right: light skin tone	right point that-way this
👉🏼 backhand index pointing right: medium-light skin tone	right point that-way this
👉🏽 backhand index pointing right: medium skin tone	right point that-way this
👉🏾 backhand index pointing right: medium-dark skin tone	right point that-way this
👉🏿 backhand index pointing right: dark skin tone	right point that-way this
👆 backhand index pointing up	up above this point
👆🏻 backhand index pointing up: light skin tone	up above this point
👆🏼 backhand index pointing up: medium-light skin tone	up above this point
👆🏽 backhand index pointing up: medium skin tone	up above this point
👆🏾 backhand index pointing up: medium-dark skin tone	up above this point
👆🏿 backhand index pointing up: dark skin tone	up above this point
🖕 middle finger	fuck-you flip-off bird rude
🖕🏻 middle finger: light skin tone	fuck-you flip-off bird rude
🖕🏼 middle finger: medium-light skin tone	fuck-you flip-off bird rude
🖕🏽 middle finger: medium skin tone	fuck-you flip-off bird rude
🖕🏾 middle finger: medium-dark skin tone	fuck-you flip-off bird rude
🖕🏿 middle finger: dark skin tone	fuck-you flip-off bird rude
👇 backhand index pointing down	down below this point
👇🏻 backhand index pointing down: light skin tone	down below this point
👇🏼 backhand index pointing down: medium-light skin tone	down below this point
👇🏽 backhand index pointing down: medium skin tone	down below this point
👇🏾 backhand index pointing down: medium-dark skin tone	down below this point
👇🏿 backhand index pointing down: dark skin tone	down below this point
☝️ index pointing up	one up above wait actually
☝🏻 index pointing up: light skin tone	one up above wait actually
☝🏼 index pointing up: medium-light skin tone	one up above wait actually
☝🏽 index pointing up: medium skin tone	one up above wait actually
☝🏾 index pointing up: medium-dark skin tone	one up above wait actually
☝🏿 index pointing up: dark skin tone	one up above wait actually
🫵 index pointing at the viewer	you hey point uncle-sam
🫵🏻 index pointing at the viewer: light skin tone	you hey point uncle-sam
🫵🏼 index pointing at the viewer: medium-light skin tone	you hey point uncle-sam
🫵🏽 index pointing at the viewer: medium skin tone	you hey point uncle-sam
🫵🏾 index pointing at the viewer: medium-dark skin tone	you hey point uncle-sam
🫵🏿 index pointing at the viewer: dark skin tone	you hey point uncle-sam
👍 thumbs up	yes good agree like nice ok cool approved
👍🏻 thumbs up: light skin tone	yes good agree like nice ok cool approved
👍🏼 thumbs up: medium-light skin tone	yes good agree like nice ok cool approved
👍🏽 thumbs up: medium skin tone	yes good agree like nice ok cool approved
👍🏾 thumbs up: medium-dark skin tone	yes good agree like nice ok cool approved
👍🏿 thumbs up: dark skin tone	yes good agree like nice ok cool approved
👎 thumbs down	no bad disagree dislike boo nope
👎🏻 thumbs down: light skin tone	no bad disagree dislike boo nope
👎🏼 thumbs down: medium-light skin tone	no bad disagree dislike boo nope
👎🏽 thumbs down: medium skin tone	no bad disagree dislike boo nope
👎🏾 thumbs down: medium-dark skin tone	no bad disagree dislike boo nope
👎🏿 thumbs down: dark skin tone	no bad disagree dislike boo nope
✊ raised fist	solidarity power fight strong fistbump
✊🏻 raised fist: light skin tone	solidarity power fight strong fistbump
✊🏼 raised fist: medium-light skin tone	solidarity power fight strong fistbump
✊🏽 raised fist: medium skin tone	solidarity power fight strong fistbump
✊🏾 raised fist: medium-dark skin tone	solidarity power fight strong fistbump
✊🏿 raised fist: dark skin tone	solidarity power fight strong fistbump
👊 oncoming fist	punch bump fistbump bro
👊🏻 oncoming fist: light skin tone	punch bump fistbump bro
👊🏼 oncoming fist: medium-light skin tone	punch bump fistbump bro
👊🏽 oncoming fist: medium skin tone	punch bump fistbump bro
👊🏾 oncoming fist: medium-dark skin tone	punch bump fistbump bro
👊🏿 oncoming fist: dark skin tone	punch bump fistbump bro
🤛 left-facing fist	bump fistbump punch
🤛🏻 left-facing fist: light skin tone	bump fistbump punch
🤛🏼 left-facing fist: medium-light skin tone	bump fistbump punch
🤛🏽 left-facing fist: medium skin tone	bump fistbump punch
🤛🏾 left-facing fist: medium-dark skin tone	bump fistbump punch
🤛🏿 left-facing fist: dark skin tone	bump fistbump punch
🤜 right-facing fist	bump fistbump punch
🤜🏻 right-facing fist: light skin tone	bump fistbump punch
🤜🏼 right-facing fist: medium-light skin tone	bump fistbump punch
🤜🏽 right-facing fist: medium skin tone	bump fistbump punch
🤜🏾 right-facing fist: medium-dark skin tone	bump fistbump punch
🤜🏿 right-facing fist: dark skin tone	bump fistbump punch
👏 clapping hands	clap bravo applause congrats slow-clap
👏🏻 clapping hands: light skin tone	clap bravo applause congrats slow-clap
👏🏼 clapping hands: medium-light skin tone	clap bravo applause congrats slow-clap
👏🏽 clapping hands: medium skin tone	clap bravo applause congrats slow-clap
👏🏾 clapping hands: medium-dark skin tone	clap bravo applause congrats slow-clap
👏🏿 clapping hands: dark skin tone	clap bravo applause congrats slow-clap
🙌 raising hands	celebration praise yay hooray hallelujah
🙌🏻 raising hands: light skin tone	celebration praise yay hooray hallelujah
🙌🏼 raising hands: medium-light skin tone	celebration praise yay hooray hallelujah
🙌🏽 raising hands: medium skin tone	celebration praise yay hooray hallelujah
🙌🏾 raising hands: medium-dark skin tone	celebration praise yay hooray hallelujah
🙌🏿 raising hands: dark skin tone	celebration praise yay hooray hallelujah
🫶 heart hands	love heart gesture affection
🫶🏻 heart hands: light skin tone	love heart gesture affection
🫶🏼 heart hands: medium-light skin tone	love heart gesture affection
🫶🏽 heart hands: medium skin tone	love heart gesture affection
🫶🏾 heart hands: medium-dark skin tone	love heart gesture affection
🫶🏿 heart hands: dark skin tone	love heart gesture affection
👐 open hands	jazz-hands hug open welcome
👐🏻 open hands: light skin tone	jazz-hands hug open welcome
👐🏼 open hands: medium-light skin tone	jazz-hands hug open welcome
👐🏽 open hands: medium skin tone	jazz-hands hug open welcome
👐🏾 open hands: medium-dark skin tone	jazz-hands hug open welcome
👐🏿 open hands: dark skin tone	jazz-hands hug open welcome
🤲 palms up together	prayer book open offer
🤲🏻 palms up together: light skin tone	prayer book open offer
🤲🏼 palms up together: medium-light skin tone	prayer book open offer
🤲🏽 palms up together: medium skin tone	prayer book open offer
🤲🏾 palms up together: medium-dark skin tone	prayer book open offer
🤲🏿 palms up together: dark skin tone	prayer book open offer
🤝 handshake	deal agreement greeting hello
🤝🏻 handshake: light skin tone	deal agreement greeting hello
🤝🏼 handshake: medium-light skin tone	deal agreement greeting hello
🤝🏽 handshake: medium skin tone	deal agreement greeting hello
🤝🏾 handshake: medium-dark skin tone	deal agreement greeting hello
🤝🏿 handshake: dark skin tone	deal agreement greeting hello
🫱🏻‍🫲🏼 handshake: light skin tone, medium-light skin tone	deal agreement greeting hello
🫱🏻‍🫲🏽 handshake: light skin tone, medium skin tone	deal agreement greeting hello
🫱🏻‍🫲🏾 handshake: light skin tone, medium-dark skin tone	deal agreement greeting hello
🫱🏻‍🫲🏿 handshake: light skin tone, dark skin tone	deal agreement greeting hello
🫱🏼‍🫲🏻 handshake: medium-light skin tone, light skin tone	deal agreement greeting hello
🫱🏼‍🫲🏽 handshake: medium-light skin tone, medium skin tone	deal agreement greeting hello
🫱🏼‍🫲🏾 handshake: medium-light skin tone, medium-dark skin tone	deal agreement greeting hello
🫱🏼‍🫲🏿 handshake: medium-light skin tone, dark skin tone	deal agreement greeting hello
🫱🏽‍🫲🏻 handshake: medium skin tone, light skin tone	deal agreement greeting hello
🫱🏽‍🫲🏼 handshake: medium skin tone, medium-light skin tone	deal agreement greeting hello
🫱🏽‍🫲🏾 handshake: medium skin tone, medium-dark skin tone	deal agreement greeting hello
🫱🏽‍🫲🏿 handshake: medium skin tone, dark skin tone	deal agreement greeting hello
🫱🏾‍🫲🏻 handshake: medium-dark skin tone, light skin tone	deal agreement greeting hello
🫱🏾‍🫲🏼 handshake: medium-dark skin tone, medium-light skin tone	deal agreement greeting hello
🫱🏾‍🫲🏽 handshake: medium-dark skin tone, medium skin tone	deal agreement greeting hello
🫱🏾‍🫲🏿 handshake: medium-dark skin tone, dark skin tone	deal agreement greeting hello
🫱🏿‍🫲🏻 handshake: dark skin tone, light skin tone	deal agreement greeting hello
🫱🏿‍🫲🏼 handshake: dark skin tone, medium-light skin tone	deal agreement greeting hello
🫱🏿‍🫲🏽 handshake: dark skin tone, medium skin tone	deal agreement greeting hello
🫱🏿‍🫲🏾 handshake: dark skin tone, medium-dark skin tone	deal agreement greeting hello
🙏 folded hands	pray please thanks namaste hope beg
🙏🏻 folded hands: light skin tone	pray please thanks namaste hope beg
🙏🏼 folded hands: medium-light skin tone	pray please thanks namaste hope beg
🙏🏽 folded hands: medium skin tone	pray please thanks namaste hope beg
🙏🏾 folded hands: medium-dark skin tone	pray please thanks namaste hope beg
🙏🏿 folded hands: dark skin tone	pray please thanks namaste hope beg
✍️ writing hand	write note pen author compose
✍🏻 writing hand: light skin tone	write note pen author compose
✍🏼 writing hand: medium-light skin tone	write note pen author compose
✍🏽 writing hand: medium skin tone	write note pen author compose
✍🏾 writing hand: medium-dark skin tone	write note pen author compose
✍🏿 writing hand: dark skin tone	write note pen author compose
💅 nail polish	sassy fabulous fancy nails self-care
💅🏻 nail polish: light skin tone	sassy fabulous fancy nails self-care
💅🏼 nail polish: medium-light skin tone	sassy fabulous fancy nails self-care
💅🏽 nail polish: medium skin tone	sassy fabulous fancy nails self-care
💅🏾 nail polish: medium-dark skin tone	sassy fabulous fancy nails self-care
💅🏿 nail polish: dark skin tone	sassy fabulous fancy nails self-care
🤳 selfie	selfie photo camera phone pic
🤳🏻 selfie: light skin tone	selfie photo camera phone pic
🤳🏼 selfie: medium-light skin tone	selfie photo camera phone pic
🤳🏽 selfie: medium skin tone	selfie photo camera phone pic
🤳🏾 selfie: medium-dark skin tone	selfie photo camera phone pic
🤳🏿 selfie: dark skin tone	selfie photo camera phone pic
💪 flexed biceps	strong muscle flex gym power buff
💪🏻 flexed biceps: light skin tone	strong muscle flex gym power buff
💪🏼 flexed biceps: medium-light skin tone	strong muscle flex gym power buff
💪🏽 flexed biceps: medium skin tone	strong muscle flex gym power buff
💪🏾 flexed biceps: medium-dark skin tone	strong muscle flex gym power buff
💪🏿 flexed biceps: dark skin tone	strong muscle flex gym power buff
🦾 mechanical arm	prosthetic robot arm bionic
🦿 mechanical leg	prosthetic robot leg bionic
🦵 leg	kick walk leg limb
🦵🏻 leg: light skin tone	kick walk leg limb
🦵🏼 leg: medium-light skin tone	kick walk leg limb
🦵🏽 leg: medium skin tone	kick walk leg limb
🦵🏾 leg: medium-dark skin tone	kick walk leg limb
🦵🏿 leg: dark skin tone	kick walk leg limb
🦶 foot	kick step stomp foot
🦶🏻 foot: light skin tone	kick step stomp foot
🦶🏼 foot: medium-light skin tone	kick step stomp foot
🦶🏽 foot: medium skin tone	kick step stomp foot
🦶🏾 foot: medium-dark skin tone	kick step stomp foot
🦶🏿 foot: dark skin tone	kick step stomp foot
👂 ear	listen hear sound hearing
👂🏻 ear: light skin tone	listen hear sound hearing
👂🏼 ear: medium-light skin tone	listen hear sound hearing
👂🏽 ear: medium skin tone	listen hear sound hearing
👂🏾 ear: medium-dark skin tone	listen hear sound hearing
👂🏿 ear: dark skin tone	listen hear sound hearing
🦻 ear with hearing aid
🦻🏻 ear with hearing aid: light skin tone
🦻🏼 ear with hearing aid: medium-light skin tone
🦻🏽 ear with hearing aid: medium skin tone
🦻🏾 ear with hearing aid: medium-dark skin tone
🦻🏿 ear with hearing aid: dark skin tone
👃 nose	smell sniff scent nose
👃🏻 nose: light skin tone	smell sniff scent nose
👃🏼 nose: medium-light skin tone	smell sniff scent nose
👃🏽 nose: medium skin tone	smell sniff scent nose
👃🏾 nose: medium-dark skin tone	smell sniff scent nose
👃🏿 nose: dark skin tone	smell sniff scent nose
🧠 brain	smart think mind intelligence idea
🫀 anatomical heart	organ heart medical body real-heart
🫁 lungs	breathe air respiratory organ
🦷 tooth	dental dentist teeth bite
🦴 bone	skeleton body x-ray
👀 eyes	look see watching stare peep looking
👁️ eye	look see watch vision
👅 tongue	lick taste bleh silly
👄 mouth	lips talk kiss speak
🫦 biting lip	nervous flirty anxious sexy sus
👶 baby	infant newborn child toddler
👶🏻 baby: light skin tone	infant newborn child toddler
👶🏼 baby: medium-light skin tone	infant newborn child toddler
👶🏽 baby: medium skin tone	infant newborn child toddler
👶🏾 baby: medium-dark skin tone	infant newborn child toddler
👶🏿 baby: dark skin tone	infant newborn child toddler
🧒 child	kid young minor
🧒🏻 child: light skin tone	kid young minor
🧒🏼 child: medium-light skin tone	kid young minor
🧒🏽 child: medium skin tone	kid young minor
🧒🏾 child: medium-dark skin tone	kid young minor
🧒🏿 child: dark skin tone	kid young minor
👦 boy	kid male young son
👦🏻 boy: light skin tone	kid male young son
👦🏼 boy: medium-light skin tone	kid male young son
👦🏽 boy: medium skin tone	kid male young son
👦🏾 boy: medium-dark skin tone	kid male young son
👦🏿 boy: dark skin tone	kid male young son
👧 girl	kid female young daughter
👧🏻 girl: light skin tone	kid female young daughter
👧🏼 girl: medium-light skin tone	kid female young daughter
👧🏽 girl: medium skin tone	kid female young daughter
👧🏾 girl: medium-dark skin tone	kid female young daughter
👧🏿 girl: dark skin tone	kid female young daughter
🧑 person	human adult individual
🧑🏻 person: light skin tone	human adult individual
🧑🏼 person: medium-light skin tone	human adult individual
🧑🏽 person: medium skin tone	human adult individual
🧑🏾 person: medium-dark skin tone	human adult individual
🧑🏿 person: dark skin tone	human adult individual
👱 person: blond hair
👱🏻 person: light skin tone, blond hair	human adult individual
👱🏼 person: medium-light skin tone, blond hair	human adult individual
👱🏽 person: medium skin tone, blond hair	human adult individual
👱🏾 person: medium-dark skin tone, blond hair	human adult individual
👱🏿 person: dark skin tone, blond hair	human adult individual
👨 man	male guy dude adult
👨🏻 man: light skin tone	male guy dude adult
👨🏼 man: medium-light skin tone	male guy dude adult
👨🏽 man: medium skin tone	male guy dude adult
👨🏾 man: medium-dark skin tone	male guy dude adult
👨🏿 man: dark skin tone	male guy dude adult
🧔 person: beard
